date,lunar_day,lunar_month,lunar_phase
2016-11-10,11,1161,premier_quartier
2016-11-11,12,1161,premier_quartier
2016-11-12,13,1161,premier_quartier
2016-11-13,14,1161,premier_quartier
2016-11-14,15,1161,pleine_lune
2016-11-15,16,1161,pleine_lune
2016-11-16,17,1161,pleine_lune
2016-11-17,18,1161,pleine_lune
2016-11-18,19,1161,pleine_lune
2016-11-19,20,1161,pleine_lune
2016-11-20,21,1161,pleine_lune
2016-11-21,22,1161,dernier_quartier
2016-11-22,23,1161,dernier_quartier
2016-11-23,24,1161,dernier_quartier
2016-11-24,25,1161,dernier_quartier
2016-11-25,26,1161,dernier_quartier
2016-11-26,27,1161,dernier_quartier
2016-11-27,28,1161,dernier_quartier
2016-11-28,29,1161,dernier_quartier
2016-11-29,0,1162,nouvelle_lune
2016-11-30,1,1162,nouvelle_lune
2016-12-01,2,1162,nouvelle_lune
2016-12-02,3,1162,nouvelle_lune
2016-12-03,4,1162,nouvelle_lune
2016-12-04,5,1162,nouvelle_lune
2016-12-05,6,1162,nouvelle_lune
2016-12-06,7,1162,premier_quartier
2016-12-07,8,1162,premier_quartier
2016-12-08,9,1162,premier_quartier
2016-12-09,10,1162,premier_quartier
2016-12-10,11,1162,premier_quartier
2016-12-11,12,1162,premier_quartier
2016-12-12,13,1162,premier_quartier
2016-12-13,14,1162,premier_quartier
2016-12-14,15,1162,pleine_lune
2016-12-15,16,1162,pleine_lune
2016-12-16,17,1162,pleine_lune
2016-12-17,18,1162,pleine_lune
2016-12-18,19,1162,pleine_lune
2016-12-19,20,1162,pleine_lune
2016-12-20,21,1162,pleine_lune
2016-12-21,22,1162,dernier_quartier
2016-12-22,23,1162,dernier_quartier
2016-12-23,24,1162,dernier_quartier
2016-12-24,25,1162,dernier_quartier
2016-12-25,26,1162,dernier_quartier
2016-12-26,27,1162,dernier_quartier
2016-12-27,28,1162,dernier_quartier
2016-12-28,0,1163,nouvelle_lune
2016-12-29,1,1163,nouvelle_lune
2016-12-30,2,1163,nouvelle_lune
2016-12-31,3,1163,nouvelle_lune
2017-01-01,4,1163,nouvelle_lune
2017-01-02,5,1163,nouvelle_lune
2017-01-03,6,1163,nouvelle_lune
2017-01-04,7,1163,premier_quartier
2017-01-05,8,1163,premier_quartier
2017-01-06,9,1163,premier_quartier
2017-01-07,10,1163,premier_quartier
2017-01-08,11,1163,premier_quartier
2017-01-09,12,1163,premier_quartier
2017-01-10,13,1163,premier_quartier
2017-01-11,14,1163,premier_quartier
2017-01-12,15,1163,pleine_lune
2017-01-13,16,1163,pleine_lune
2017-01-14,17,1163,pleine_lune
2017-01-15,18,1163,pleine_lune
2017-01-16,19,1163,pleine_lune
2017-01-17,20,1163,pleine_lune
2017-01-18,21,1163,pleine_lune
2017-01-19,22,1163,dernier_quartier
2017-01-20,23,1163,dernier_quartier
2017-01-21,24,1163,dernier_quartier
2017-01-22,25,1163,dernier_quartier
2017-01-23,26,1163,dernier_quartier
2017-01-24,27,1163,dernier_quartier
2017-01-25,28,1163,dernier_quartier
2017-01-26,29,1163,dernier_quartier
2017-01-27,0,1164,nouvelle_lune
2017-01-28,1,1164,nouvelle_lune
2017-01-29,2,1164,nouvelle_lune
2017-01-30,3,1164,nouvelle_lune
2017-01-31,4,1164,nouvelle_lune
2017-02-01,5,1164,nouvelle_lune
2017-02-02,6,1164,nouvelle_lune
2017-02-03,7,1164,premier_quartier
2017-02-04,8,1164,premier_quartier
2017-02-05,9,1164,premier_quartier
2017-02-06,10,1164,premier_quartier
2017-02-07,11,1164,premier_quartier
2017-02-08,12,1164,premier_quartier
2017-02-09,13,1164,premier_quartier
2017-02-10,14,1164,premier_quartier
2017-02-11,15,1164,pleine_lune
2017-02-12,16,1164,pleine_lune
2017-02-13,17,1164,pleine_lune
2017-02-14,18,1164,pleine_lune
2017-02-15,19,1164,pleine_lune
2017-02-16,20,1164,pleine_lune
2017-02-17,21,1164,pleine_lune
2017-02-18,22,1164,dernier_quartier
2017-02-19,23,1164,dernier_quartier
2017-02-20,24,1164,dernier_quartier
2017-02-21,25,1164,dernier_quartier
2017-02-22,26,1164,dernier_quartier
2017-02-23,27,1164,dernier_quartier
2017-02-24,28,1164,dernier_quartier
2017-02-25,29,1164,dernier_quartier
2017-02-26,0,1165,nouvelle_lune
2017-02-27,1,1165,nouvelle_lune
2017-02-28,2,1165,nouvelle_lune
2017-03-01,3,1165,nouvelle_lune
2017-03-02,4,1165,nouvelle_lune
2017-03-03,5,1165,nouvelle_lune
2017-03-04,6,1165,nouvelle_lune
2017-03-05,7,1165,premier_quartier
2017-03-06,8,1165,premier_quartier
2017-03-07,9,1165,premier_quartier
2017-03-08,10,1165,premier_quartier
2017-03-09,11,1165,premier_quartier
2017-03-10,12,1165,premier_quartier
2017-03-11,13,1165,premier_quartier
2017-03-12,14,1165,premier_quartier
2017-03-13,15,1165,pleine_lune
2017-03-14,16,1165,pleine_lune
2017-03-15,17,1165,pleine_lune
2017-03-16,18,1165,pleine_lune
2017-03-17,19,1165,pleine_lune
2017-03-18,20,1165,pleine_lune
2017-03-19,21,1165,pleine_lune
2017-03-20,22,1165,dernier_quartier
2017-03-21,23,1165,dernier_quartier
2017-03-22,24,1165,dernier_quartier
2017-03-23,25,1165,dernier_quartier
2017-03-24,26,1165,dernier_quartier
2017-03-25,27,1165,dernier_quartier
2017-03-26,28,1165,dernier_quartier
2017-03-27,0,1166,nouvelle_lune
2017-03-28,1,1166,nouvelle_lune
2017-03-29,2,1166,nouvelle_lune
2017-03-30,3,1166,nouvelle_lune
2017-03-31,4,1166,nouvelle_lune
2017-04-01,5,1166,nouvelle_lune
2017-04-02,6,1166,nouvelle_lune
2017-04-03,7,1166,premier_quartier
2017-04-04,8,1166,premier_quartier
2017-04-05,9,1166,premier_quartier
2017-04-06,10,1166,premier_quartier
2017-04-07,11,1166,premier_quartier
2017-04-08,12,1166,premier_quartier
2017-04-09,13,1166,premier_quartier
2017-04-10,14,1166,premier_quartier
2017-04-11,15,1166,pleine_lune
2017-04-12,16,1166,pleine_lune
2017-04-13,17,1166,pleine_lune
2017-04-14,18,1166,pleine_lune
2017-04-15,19,1166,pleine_lune
